τί	what? (pro)
τίς	who? (pro)
ἀδελφός, ἀδελφοῦ, ὁ	brother (noun)
βάρβαρος, βαρβάρου, ὁ/ἡ	foreigner (noun)
βίος, βίου, ὁ	life (noun)
θάνατος, θανάτου, ὁ	death (noun)
ὅπλον, ὅπλου, τό	weapon (noun)
στρατηγός, στρατηγοῦ, ὁ	general (noun)
γἀρ	for, because (conj)
καί γάρ	for in fact (conj)
μέν	(contrast) (conj)
οὐδέ	and not, but not, not even (conj)
οὐδέ ... οὐδέ	neither ... nor (conj)
τε	and (conj)
τε ... καί	both ... and (conj)
τε ... τε	both ... and (conj)
ἀγαθός, ἀγαθή, ἀγαθόν	good (adj)
Ἀθηναῖος, Ἀθηναίa, Ἀθηναίου	Athenian (adj)
δίκαιος, δικαία, δίκαιον	just, righteous (adj)
κακός, κακή, κακόν	bad, evil (adj)
καλός, καλή, καλόν	beautiful, good (adj)
μακρός, μακρά, μακρόν	long (adj)
μικρός, μικρά, μικρόν	small, little (adj)
σοφός, σοφή, σοφόν	wise (adj)
